,latency_cuda_torch,latency,throughput,name
0,6.048791885375977,3.12,1772.99,mobilenet_v3_large
1,13.53203272819519,16.54,165.61,swin_t
2,30.64245343208313,31.42,88.06,swin_s
3,6.3263232707977295,52.86,40.33,create_RepVGG_B3
4,6.960345506668091,10.47,233.0,resnet50
5,2.6322097778320312,20.23,104.59,vanillanet_9
6,3.327237367630005,25.97,81.06,vanillanet_12
